Date,Australia/US
1983-01-03,1.016260163
1983-01-04,1.01502233
1983-01-05,1.012658228
1983-01-06,1.013581999
1983-01-07,1.012555691
1983-01-10,1.01061142
1983-01-11,1.01061142
1983-01-12,1.011122346
1983-01-13,1.009591116
1983-01-14,1.011531459
1983-01-17,1.010815728
1983-01-18,1.015640869
1983-01-19,1.019367992
1983-01-20,1.020616452
1983-01-21,1.021972407
1983-01-24,1.027432446
1983-01-25,1.02145046
1983-01-26,1.025641026
1983-01-27,1.025641026
1983-01-28,1.027538019
1983-01-31,1.033378113
1983-02-01,1.033271337
1983-02-02,1.037882719
1983-02-03,1.035732781
1983-02-04,1.037344398
1983-02-07,1.034661148
1983-02-08,1.031991744
1983-02-09,1.030715316
1983-02-10,1.030715316
1983-02-11,1.030290542
1983-02-14,1.031246777
1983-02-15,1.031034127
1983-02-16,1.029866117
1983-02-17,1.032098256
1983-02-18,1.032737788
1983-02-22,1.037344398
1983-02-23,1.039392994
1983-02-24,1.040041602
1983-02-25,1.040582726
1983-02-28,1.047668937
1983-03-01,1.053185887
1983-03-02,1.052410019
1983-03-03,1.05374078
1983-03-04,1.056524036
1983-03-07,1.054296257
1983-03-08,1.171646163
1983-03-09,1.17260788
1983-03-10,1.16509379
1983-03-11,1.165501166
1983-03-14,1.14246544
1983-03-15,1.143379831
1983-03-16,1.14416476
1983-03-17,1.145475372
1983-03-18,1.152073733
1983-03-21,1.153402537
1983-03-22,1.153269519
1983-03-23,1.153402537
1983-03-24,1.150747986
1983-03-25,1.152870648
1983-03-28,1.155668554
1983-03-29,1.155802127
1983-03-30,1.155001155
1983-03-31,1.157139551
1983-04-01,1.156737999
1983-04-04,1.155802127
1983-04-05,1.154734411
1983-04-06,1.153668666
1983-04-07,1.15446779
1983-04-08,1.155401502
1983-04-11,1.152737752
1983-04-12,1.152604887
1983-04-13,1.153668666
1983-04-14,1.152073733
1983-04-15,1.150747986
1983-04-18,1.150615579
1983-04-19,1.150218542
1983-04-20,1.151675688
1983-04-21,1.150350857
1983-04-22,1.151012891
1983-04-25,1.149425287
1983-04-26,1.151808339
1983-04-27,1.150483203
1983-04-28,1.152604887
1983-04-29,1.153269519
1983-05-02,1.152073733
1983-05-03,1.151410478
1983-05-04,1.147973826
1983-05-05,1.147446931
1983-05-06,1.147842057
1983-05-09,1.145737855
1983-05-10,1.145737855
1983-05-11,1.138692781
1983-05-12,1.133658315
1983-05-13,1.129943503
1983-05-16,1.128795575
1983-05-17,1.131861913
1983-05-18,1.131861913
1983-05-19,1.13430127
1983-05-20,1.133658315
1983-05-23,1.134558657
1983-05-24,1.134429949
1983-05-25,1.133786848
1983-05-26,1.133144476
1983-05-27,1.132502831
1983-05-31,1.134944955
1983-06-01,1.136105431
1983-06-02,1.133786848
