Date,Dutch/US
1983-01-03,2.6235
1983-01-04,2.614
1983-01-05,2.5975
1983-01-06,2.599
1983-01-07,2.582
1983-01-10,2.577
1983-01-11,2.5865
1983-01-12,2.605
1983-01-13,2.5835
1983-01-14,2.593
1983-01-17,2.602
1983-01-18,2.633
1983-01-19,2.645
1983-01-20,2.654
1983-01-21,2.68
1983-01-24,2.698
1983-01-25,2.6595
1983-01-26,2.668
1983-01-27,2.669
1983-01-28,2.673
1983-01-31,2.708
1983-02-01,2.702
1983-02-02,2.735
1983-02-03,2.7085
1983-02-04,2.718
1983-02-07,2.695
1983-02-08,2.6925
1983-02-09,2.6815
1983-02-10,2.665
1983-02-11,2.657
1983-02-14,2.6645
1983-02-15,2.66
1983-02-16,2.64
1983-02-17,2.651
1983-02-18,2.651
1983-02-22,2.6635
1983-02-23,2.6705
1983-02-24,2.664
1983-02-25,2.67
1983-02-28,2.692
1983-03-01,2.7
1983-03-02,2.6885
1983-03-03,2.683
1983-03-04,2.654
1983-03-07,2.644
1983-03-08,2.667
1983-03-09,2.6665
1983-03-10,2.65
1983-03-11,2.653
1983-03-14,2.643
1983-03-15,2.653
1983-03-16,2.641
1983-03-17,2.657
1983-03-18,2.656
1983-03-21,2.689
1983-03-22,2.698
1983-03-23,2.7155
1983-03-24,2.719
1983-03-25,2.7115
1983-03-28,2.736
1983-03-29,2.7365
1983-03-30,2.7265
1983-03-31,2.731
1983-04-01,2.73
1983-04-04,2.725
1983-04-05,2.726
1983-04-06,2.719
1983-04-07,2.722
1983-04-08,2.7335
1983-04-11,2.729
1983-04-12,2.7325
1983-04-13,2.7505
1983-04-14,2.751
1983-04-15,2.745
1983-04-18,2.771
1983-04-19,2.7585
1983-04-20,2.772
1983-04-21,2.765
1983-04-22,2.7568
1983-04-25,2.755
1983-04-26,2.7645
1983-04-27,2.7615
1983-04-28,2.776
1983-04-29,2.776
1983-05-02,2.7625
1983-05-03,2.7635
1983-05-04,2.751
1983-05-05,2.7515
1983-05-06,2.746
1983-05-09,2.744
1983-05-10,2.7478
1983-05-11,2.742
1983-05-12,2.745
1983-05-13,2.751
1983-05-16,2.7705
1983-05-17,2.766
1983-05-18,2.7705
1983-05-19,2.783
1983-05-20,2.7845
1983-05-23,2.7945
1983-05-24,2.802
1983-05-25,2.799
1983-05-26,2.8075
1983-05-27,2.8275
1983-05-31,2.839
1983-06-01,2.8615
1983-06-02,2.8535
1983-06-03,2.8545
1983-06-06,2.88
1983-06-07,2.88
1983-06-08,2.88
1983-06-09,2.8775
1983-06-10,2.8665
1983-06-13,2.862
1983-06-14,2.872
1983-06-15,2.873
1983-06-16,2.8545
1983-06-17,2.856
1983-06-20,2.8465
1983-06-21,2.8515
1983-06-22,2.8215
1983-06-23,2.8222
1983-06-24,2.825
1983-06-27,2.839
1983-06-28,2.85
1983-06-29,2.8515
1983-06-30,2.8465
1983-07-01,2.8455
1983-07-05,2.8765
1983-07-06,2.8765
1983-07-07,2.883
1983-07-08,2.8845
1983-07-11,2.894
1983-07-12,2.896
1983-07-13,2.8875
1983-07-14,2.881
1983-07-15,2.9055
1983-07-18,2.9045
1983-07-19,2.9
1983-07-20,2.8815
1983-07-21,2.8915
1983-07-22,2.9
1983-07-25,2.9165
1983-07-26,2.919
1983-07-27,2.935
1983-07-28,2.934
1983-07-29,2.9585
1983-08-01,2.994
1983-08-02,2.9715
1983-08-03,2.9738
1983-08-04,2.987
1983-08-05,3
1983-08-08,3.0125
1983-08-09,3.006
1983-08-10,3.047
1983-08-11,3.057
1983-08-12,3.0475
1983-08-15,3.034
1983-08-16,2.9835
1983-08-17,2.956
1983-08-18,2.95
1983-08-19,2.9715
1983-08-22,2.9465
1983-08-23,2.9405
1983-08-24,2.95
1983-08-25,2.959
1983-08-26,2.984
1983-08-29,3
1983-08-30,3.0075
1983-08-31,3.019
1983-09-01,3.0125
1983-09-02,3.014
1983-09-06,2.9995
1983-09-07,3.0045
1983-09-08,2.995
1983-09-09,2.9925
1983-09-12,2.976
1983-09-13,2.998
1983-09-14,3.0045
1983-09-15,2.9955
1983-09-16,2.9835
1983-09-19,2.9775
1983-09-20,2.9855
1983-09-21,2.982
1983-09-22,3.0015
1983-09-23,2.966
1983-09-26,2.961
1983-09-27,2.966
1983-09-28,2.9615
1983-09-29,2.954
1983-09-30,2.9415
1983-10-03,2.933
1983-10-04,2.9415
1983-10-05,2.913
1983-10-06,2.9005
1983-10-07,2.881
1983-10-11,2.899
1983-10-12,2.9305
1983-10-13,2.9185
1983-10-14,2.93
1983-10-17,2.9175
1983-10-18,2.9025
1983-10-19,2.9065
1983-10-20,2.91
1983-10-21,2.9075
1983-10-24,2.932
1983-10-25,2.9247
1983-10-26,2.939
1983-10-27,2.938
1983-10-28,2.94
1983-10-31,2.947
1983-11-01,2.9735
1983-11-02,2.964
1983-11-03,2.9765
1983-11-04,2.9915
1983-11-07,3.004
1983-11-09,2.9905
1983-11-10,2.978
1983-11-14,2.9955
1983-11-15,2.9975
1983-11-16,3.006
1983-11-17,3.0225
1983-11-18,3.0275
1983-11-21,3.026
1983-11-22,3.02
1983-11-23,3.031
1983-11-25,3.0375
1983-11-28,3.039
1983-11-29,3.043
1983-11-30,3.0245
1983-12-01,3.0255
1983-12-02,3.0365
1983-12-05,3.071
1983-12-06,3.0625
1983-12-07,3.0615
1983-12-08,3.065
1983-12-09,3.085
1983-12-12,3.0852
1983-12-13,3.1085
1983-12-14,3.1065
1983-12-15,3.1105
1983-12-16,3.116
1983-12-19,3.1135
1983-12-20,3.11
1983-12-21,3.114
1983-12-22,3.11
1983-12-23,3.098
1983-12-27,3.096
1983-12-28,3.095
1983-12-29,3.0665
1983-12-30,3.062
1984-01-03,3.1
1984-01-04,3.1275
1984-01-05,3.138
1984-01-06,3.15
1984-01-09,3.1755
1984-01-10,3.162
1984-01-11,3.189
1984-01-12,3.1885
1984-01-13,3.159
1984-01-16,3.1472
1984-01-17,3.1595
1984-01-18,3.159
1984-01-19,3.1425
1984-01-20,3.1715
1984-01-23,3.167
1984-01-24,3.1775
1984-01-25,3.1765
1984-01-26,3.1615
1984-01-27,3.1745
1984-01-30,3.165
1984-01-31,3.1735
1984-02-01,3.146
1984-02-02,3.113
1984-02-03,3.09
1984-02-06,3.094
1984-02-07,3.12
1984-02-08,3.106
1984-02-09,3.106
1984-02-10,3.09
1984-02-14,3.07
1984-02-15,3.0175
1984-02-16,3.024
1984-02-17,3.03
1984-02-21,3.0505
1984-02-22,3.0037
1984-02-23,3.006
1984-02-24,2.9655
1984-02-27,2.9745
1984-02-28,2.94
1984-02-29,2.936
1984-03-01,2.945
1984-03-02,2.919
1984-03-05,2.9115
1984-03-06,2.885
1984-03-07,2.884
1984-03-08,2.923
1984-03-09,2.921
1984-03-12,2.939
1984-03-13,2.9045
1984-03-14,2.899
1984-03-15,2.919
1984-03-16,2.9675
1984-03-19,2.969
1984-03-20,2.975
1984-03-21,2.986
1984-03-22,2.9735
1984-03-23,2.9665
1984-03-26,2.934
1984-03-27,2.922
1984-03-28,2.9265
1984-03-29,2.9195
1984-03-30,2.9285
1984-04-02,2.935
1984-04-03,2.9575
1984-04-04,2.957
1984-04-05,2.9675
1984-04-06,2.959
1984-04-09,2.9682
1984-04-10,2.954
1984-04-11,2.945
1984-04-12,2.9535
1984-04-13,2.9645
1984-04-16,2.974
1984-04-17,2.98
1984-04-18,2.987
1984-04-19,3.0005
1984-04-20,3.0055
1984-04-23,3.003
1984-04-24,3.0265
1984-04-25,3.0235
1984-04-26,3.0375
1984-04-27,3.05
1984-04-30,3.066
1984-05-01,3.075
1984-05-02,3.07
1984-05-03,3.0465
1984-05-04,3.0615
1984-05-07,3.115
1984-05-08,3.1255
1984-05-09,3.114
1984-05-10,3.119
1984-05-11,3.115
1984-05-14,3.1015
1984-05-15,3.0885
1984-05-16,3.085
1984-05-17,3.1055
1984-05-18,3.1215
1984-05-21,3.0995
1984-05-22,3.087
1984-05-23,3.103
1984-05-24,3.09
1984-05-25,3.0725
1984-05-29,3.08
1984-05-30,3.0815
1984-05-31,3.08
1984-06-01,3.028
1984-06-04,3.0125
1984-06-05,3.03
1984-06-06,3.023
1984-06-07,3.0405
1984-06-08,3.0435
1984-06-11,3.059
1984-06-12,3.0725
1984-06-13,3.0615
1984-06-14,3.069
1984-06-15,3.087
1984-06-18,3.105
1984-06-19,3.1055
1984-06-20,3.1305
1984-06-21,3.1325
1984-06-22,3.134
1984-06-25,3.157
1984-06-26,3.139
1984-06-27,3.153
1984-06-28,3.1345
1984-06-29,3.1355
1984-07-02,3.1475
1984-07-03,3.1815
1984-07-05,3.1915
1984-07-06,3.201
1984-07-09,3.206
1984-07-10,3.187
1984-07-11,3.206
1984-07-12,3.214
1984-07-13,3.193
1984-07-16,3.185
1984-07-17,3.2145
1984-07-18,3.231
1984-07-19,3.2095
1984-07-20,3.226
1984-07-23,3.247
1984-07-24,3.238
1984-07-25,3.222
1984-07-26,3.216
1984-07-27,3.2605
1984-07-30,3.2715
1984-07-31,3.2775
1984-08-01,3.295
1984-08-02,3.2705
1984-08-03,3.234
1984-08-06,3.2565
1984-08-07,3.289
1984-08-08,3.2675
1984-08-09,3.266
1984-08-10,3.263
1984-08-13,3.2845
1984-08-14,3.254
1984-08-15,3.241
1984-08-16,3.2185
1984-08-17,3.225
1984-08-20,3.2375
