Date,French/US
1983-01-03,6.726
1983-01-04,6.6925
1983-01-05,6.661
1983-01-06,6.6606
1983-01-07,6.635
1983-01-10,6.606
1983-01-11,6.643
1983-01-12,6.698
1983-01-13,6.644
1983-01-14,6.675
1983-01-17,6.684
1983-01-18,6.7805
1983-01-19,6.846
1983-01-20,6.867
1983-01-21,6.92
1983-01-24,6.978
1983-01-25,6.862
1983-01-26,6.873
1983-01-27,6.875
1983-01-28,6.9025
1983-01-31,6.994
1983-02-01,6.984
1983-02-02,7.07
1983-02-03,6.995
1983-02-04,7.021
1983-02-07,6.948
1983-02-08,6.932
1983-02-09,6.897
1983-02-10,6.834
1983-02-11,6.8215
1983-02-14,6.837
1983-02-15,6.835
1983-02-16,6.77
1983-02-17,6.797
1983-02-18,6.801
1983-02-22,6.837
1983-02-23,6.866
1983-02-24,6.83
1983-02-25,6.85
1983-02-28,6.9
1983-03-01,6.928
1983-03-02,6.895
1983-03-03,6.877
1983-03-04,6.815
1983-03-07,6.7875
1983-03-08,6.835
1983-03-09,6.8775
1983-03-10,6.98
1983-03-11,6.92
1983-03-14,6.73
1983-03-15,6.75
1983-03-16,6.835
1983-03-17,6.91
1983-03-18,6.92
1983-03-21,7.246
1983-03-22,7.25
1983-03-23,7.2675
1983-03-24,7.259
1983-03-25,7.246
1983-03-28,7.297
1983-03-29,7.286
1983-03-30,7.2775
1983-03-31,7.281
1983-04-01,7.28
1983-04-04,7.25
1983-04-05,7.25
1983-04-06,7.233
1983-04-07,7.245
1983-04-08,7.278
1983-04-11,7.265
1983-04-12,7.27
1983-04-13,7.318
1983-04-14,7.321
1983-04-15,7.305
1983-04-18,7.37
1983-04-19,7.3425
1983-04-20,7.3805
1983-04-21,7.36
1983-04-22,7.3385
1983-04-25,7.331
1983-04-26,7.348
1983-04-27,7.3425
1983-04-28,7.3875
1983-04-29,7.396
1983-05-02,7.383
1983-05-03,7.405
1983-05-04,7.384
1983-05-05,7.364
1983-05-06,7.36
1983-05-09,7.343
1983-05-10,7.362
1983-05-11,7.33
1983-05-12,7.339
1983-05-13,7.36
1983-05-16,7.413
1983-05-17,7.403
1983-05-18,7.409
1983-05-19,7.443
1983-05-20,7.436
1983-05-23,7.455
1983-05-24,7.483
1983-05-25,7.471
1983-05-26,7.483
1983-05-27,7.5425
1983-05-31,7.573
1983-06-01,7.669
1983-06-02,7.6425
1983-06-03,7.652
1983-06-06,7.657
1983-06-07,7.716
1983-06-08,7.725
1983-06-09,7.715
1983-06-10,7.695
1983-06-13,7.685
1983-06-14,7.716
1983-06-15,7.716
1983-06-16,7.674
1983-06-17,7.7025
1983-06-20,7.654
1983-06-21,7.668
1983-06-22,7.5825
1983-06-23,7.595
1983-06-24,7.596
1983-06-27,7.6095
1983-06-28,7.63
1983-06-29,7.642
1983-06-30,7.625
1983-07-01,7.635
1983-07-05,7.709
1983-07-06,7.711
1983-07-07,7.736
1983-07-08,7.744
1983-07-11,7.77
1983-07-12,7.786
1983-07-13,7.773
1983-07-14,7.75
1983-07-15,7.8175
1983-07-18,7.806
1983-07-19,7.793
1983-07-20,7.747
1983-07-21,7.764
1983-07-22,7.789
1983-07-25,7.831
1983-07-26,7.849
1983-07-27,7.888
1983-07-28,7.8985
1983-07-29,7.96
1983-08-01,8.055
1983-08-02,8
1983-08-03,8.006
1983-08-04,8.0325
1983-08-05,8.0775
1983-08-08,8.113
1983-08-09,8.093
1983-08-10,8.198
1983-08-11,8.227
1983-08-12,8.19
1983-08-15,8.153
1983-08-16,8.0085
1983-08-17,7.9425
1983-08-18,7.9275
1983-08-19,7.985
1983-08-22,7.921
1983-08-23,7.922
1983-08-24,7.935
1983-08-25,7.948
1983-08-26,8.0125
1983-08-29,8.063
1983-08-30,8.091
1983-08-31,8.115
1983-09-01,8.11
1983-09-02,8.11
1983-09-06,8.07
1983-09-07,8.092
1983-09-08,8.069
1983-09-09,8.0425
1983-09-12,8.016
1983-09-13,8.0975
1983-09-14,8.11
1983-09-15,8.088
1983-09-16,8.05
1983-09-19,8.037
1983-09-20,8.0675
1983-09-21,8.059
1983-09-22,8.111
1983-09-23,8.03
1983-09-26,8.0275
1983-09-27,8.043
1983-09-28,8.022
1983-09-29,8.009
1983-09-30,7.995
1983-10-03,7.978
1983-10-04,8.012
1983-10-05,7.938
1983-10-06,7.925
1983-10-07,7.8725
1983-10-11,7.915
1983-10-12,7.99
1983-10-13,7.965
1983-10-14,7.998
1983-10-17,7.9545
1983-10-18,7.905
1983-10-19,7.9025
1983-10-20,7.915
1983-10-21,7.9
1983-10-24,7.972
1983-10-25,7.948
1983-10-26,7.977
1983-10-27,7.985
1983-10-28,7.986
1983-10-31,8.013
1983-11-01,8.078
1983-11-02,8.046
1983-11-03,8.0825
1983-11-04,8.112
1983-11-07,8.136
1983-11-09,8.122
1983-11-10,8.09
1983-11-14,8.138
1983-11-15,8.143
1983-11-16,8.166
1983-11-17,8.199
1983-11-18,8.2245
1983-11-21,8.213
1983-11-22,8.198
1983-11-23,8.23
1983-11-25,8.247
1983-11-28,8.244
1983-11-29,8.254
1983-11-30,8.204
1983-12-01,8.215
1983-12-02,8.244
1983-12-05,8.335
