Date,Japanese/US
1983-01-03,232
1983-01-04,229.8
1983-01-05,229.1
1983-01-06,229.8
1983-01-07,229.1
1983-01-10,226.75
1983-01-11,228.8
1983-01-12,230.55
1983-01-13,229.1
1983-01-14,230.5
1983-01-17,229.6
1983-01-18,232.15
1983-01-19,234.95
1983-01-20,235.3
1983-01-21,236.35
1983-01-24,240.2
1983-01-25,235.85
1983-01-26,235.35
1983-01-27,235.85
1983-01-28,236.4
1983-01-31,239.85
1983-02-01,239.4
1983-02-02,242.2
1983-02-03,238.85
1983-02-04,240.3
1983-02-07,237.45
1983-02-08,237.45
1983-02-09,236.6
1983-02-10,235.1
1983-02-11,234.7
1983-02-14,234.8
1983-02-15,234.1
1983-02-16,232.6
1983-02-17,233.2
1983-02-18,233.6
1983-02-22,233.8
1983-02-23,235.05
1983-02-24,234.2
1983-02-25,235.05
1983-02-28,237.85
1983-03-01,239
1983-03-02,237.3
1983-03-03,236.4
1983-03-04,235.8
1983-03-07,235.7
1983-03-08,238.7
1983-03-09,237.7
1983-03-10,237.05
1983-03-11,238.45
1983-03-14,237.5
1983-03-15,237.25
1983-03-16,237.25
1983-03-17,239.1
1983-03-18,240.3
1983-03-21,240.85
1983-03-22,239.4
1983-03-23,238.8
1983-03-24,237.25
1983-03-25,237.1
1983-03-28,240.1
1983-03-29,240.05
1983-03-30,239.8
1983-03-31,239
1983-04-01,239.6
1983-04-04,239
1983-04-05,237.65
1983-04-06,237.05
1983-04-07,237.9
1983-04-08,239.3
1983-04-11,237.95
1983-04-12,238.05
1983-04-13,238.5
1983-04-14,238.25
1983-04-15,237.6
1983-04-18,237.8
1983-04-19,237.05
1983-04-20,237.38
1983-04-21,236.4
1983-04-22,236.85
1983-04-25,236.25
1983-04-26,237.35
1983-04-27,236.25
1983-04-28,238.2
1983-04-29,238.3
1983-05-02,237.6
1983-05-03,237.65
1983-05-04,236.25
1983-05-05,235.2
1983-05-06,234.7
1983-05-09,232.65
1983-05-10,232.5
1983-05-11,230.9
1983-05-12,231.5
1983-05-13,231.3
1983-05-16,233.3
1983-05-17,233.4
1983-05-18,232.75
1983-05-19,234.4
1983-05-20,234.1
1983-05-23,235.4
1983-05-24,236.6
1983-05-25,236.3
1983-05-26,236.55
1983-05-27,237.97
1983-05-31,238.85
1983-06-01,239.85
1983-06-02,238.35
1983-06-03,239
1983-06-06,240.5
1983-06-07,240.35
1983-06-08,241.38
1983-06-09,242.7
1983-06-10,242.18
1983-06-13,242.55
