country,source,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,coal,TJ,2690.3924175000006,2405.5273380000003,200.46061150000003,179.35949450000004,158.2583775,126.60670200000001,73.8539095,52.752792500000005,52.752792500000005,31.651675500000003,31.651675500000003,706.8874195000001,569.7301590000001,949.5502650000001,917.8985895000001,896.7974725,949.5502650000001,6572.997945500001,9379.4465065,13515.2654385,19602.937693
Afghanistan,naturalGas,TJ,11700.5693765,11700.5693765,11700.5693765,11700.5693765,11700.5693765,7796.8627315,8967.974725000002,8967.974725000002,8967.974725000002,8967.974725000002,8967.974725000002,1951.8533225000003,1951.8533225000003,780.7413290000001,780.7413290000001,780.7413290000001,780.7413290000001,1561.4826580000001,1951.8533225000003,1171.1119935000002,5465.189303
Afghanistan,petroleum,TJ,30047.990608,27990.631700500006,15657.028814000003,14485.9168205,14475.366262000001,13810.681076500001,13019.389189000001,12206.996184500002,11595.0637915,11595.0637915,10276.243979,10212.940628,10402.850681000002,8292.738981000002,8967.974725000002,9643.210469000001,9611.5587935,9833.120522000001,11141.389776000002,76291.0885135,76291.0885135
Afghanistan,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,hydro,TJ,985.0723404,881.0246305,719.6517781,1599.280576,1582.951965,1555.818667,1560.533333,1571.4,1591.741353,1629.564964,1665.657758,1625.151787,1855.789532,2104.871311,2242.615385,2292.953642,3158.536692,3888,3707.360406,5021.372328,0
Afghanistan,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,biomass,TJ,3107.9097,3185.83125,3349.6218,3545.20215,3755.67255,3977.65305,6014.30745,6399.6414,7422.21075,7714.347312,8178.346128,7536.40725,7710.829002,7889.067972,8062.552098,8249.998995,8378.36667,8505.696013,8643.682741,8773.565977,0
Afghanistan,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,coal,TJ,26714.014122,15709.781606500002,4367.931219,2500.4823645000006,1698.6399185000002,791.2918875,1107.8086425000001,400.92122300000005,506.42680800000005,1234.4153445000002,759.6402120000001,875.6963555000001,928.4491480000002,928.4491480000002,928.4491480000002,791.2918875,791.2918875,791.2918875,1012.8536160000001,2236.718402,2489.9318060000005
Albania,naturalGas,TJ,9949.1766655,5507.391537,3967.0099960000002,1171.1119935000002,1171.1119935000002,1171.1119935000002,1171.1119935000002,780.7413290000001,1171.1119935000002,780.7413290000001,1171.1119935000002,1171.1119935000002,1171.1119935000002,1171.1119935000002,1171.1119935000002,1171.1119935000002,1171.1119935000002,390.37066450000003,1171.1119935000002,1171.1119935000002,390.37066450000003
Albania,petroleum,TJ,45567.8621615,40704.054693000005,46496.3113095,23042.419764000002,29509.912124500002,32959.944754000004,26059.879495,27188.789254500003,32664.529116000005,40134.324534,46728.423596500004,49999.09673150001,53269.769866500006,60106.53177450001,62881.32866000001,68156.60791,69074.5064995,68694.6863935,67122.653177,59568.453291000005,55348.229891
Albania,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,hydro,TJ,5393.210757,4304.674307,4868.3098,5654.35784,6392.540471,6944.12415,9609.360445,7348.018519,7817.476519,15229.31629,14851.47699,14086.15791,15277.10472,15408.49559,18694.18801,18350.92229,12308.23479,12881.33986,16628,19349.28327,20423.30528
Albania,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,biomass,TJ,15196.07,15196.07,15196.07,14504.21,13844.32,13214.46,12613,12039,11491,10967,10799,10717,10717,8286,9754,9629,9629,8999,9003,8790,8581
Albania,solar,TJ,0,0,0,0,0,0,0,0,0,37,46,57,59,84,57,55,96,264,272,279,281
Albania,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,coal,TJ,32896.641403,34753.539699,31166.349809000003,28539.260742500002,25120.879788500002,31176.900367500002,19128.1625605,9759.2666125,22409.386254,23327.284843500005,21111.6675585,22483.240163500002,25521.801011500003,27547.508243500004,29098.440343000002,27769.069972,26492.452393500003,30744.327469000003,30712.675793500002,17355.668732500002,14538.669613000002
Algeria,naturalGas,TJ,876455.9957120001,964848.574825,908772.3563975,815568.7226085,859532.899878,923722.4977920001,906166.368448,846545.1623645001,875516.9960055001,894835.068619,863341.6514965,858298.4845335,857042.9680720001,861664.112695,809586.5559390001,1006322.8202885002,1074975.3044480002,1110963.2594915002,1162112.3670995,1207500.8697665,1218167.4844100003
Algeria,petroleum,TJ,402546.00900900003,432224.7300695,435199.9875665001,298475.299965,422560.4184835,422729.22741950006,409899.7482835001,406787.33352600003,421980.137766,400362.0433995,421959.0366490001,443978.05223850004,461513.0804655,469404.89822350006,489683.0716605,522706.3197655,524109.544046,564644.789803,640724.8671465,669633.3974365001,671279.2845625001
Algeria,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,hydro,TJ,371.8703428,768.2022485,537.221645,894.2460595,420.7064326,511.2762364,353.8471967,190.9068707,540.0509414,516.909157,142.2525578,183.4894648,153.9503038,732.430929,682.752128,1570.642636,589.5208653,612.367889,758.563227,794.2059955,460.2597893
Algeria,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,biomass,TJ,628,1214,1340,2261,2261,2261,2261,3013.41,3202.4,3202.4,3202.4,3202.4,4311.19,3516.33,3516.33,4270.16,3855.25,4270.16,2783.47,3207.38,3097.39
Algeria,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,coal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,naturalGas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,petroleum,TJ,8514.300709500001,8514.300709500001,8725.311879500001,8408.7951245,8472.0984755,8334.941215,8450.9973585,8472.0984755,8472.0984755,8472.0984755,8271.637864,8292.738981000002,8429.8962415,8429.8962415,8387.694007500002,8925.772491000002,9084.0308685,9727.614937000002,6034.919462000001,9084.0308685,4399.5828945
American Samoa,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,hydro,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,biomass,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,hydro,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,biomass,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,coal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,petroleum,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,naturalGas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,coal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,naturalGas,TJ,20985.060856500004,22092.869499000004,22240.577318000003,21850.2066535,20278.173437,21839.656095000002,21850.2066535,22240.577318000003,22630.9479825,21850.2066535,22240.577318000003,20679.094660000002,24181.880082000003,25352.992075500002,29256.698720500004,24698.857448500003,25838.317766500004,31546.169915000002,25838.317766500004,26218.137872500003,27895.676674000006
Angola,petroleum,TJ,55358.78044950001,57426.68991550001,58924.869222500005,53913.35393500001,56951.91478300001,60887.2731035,57162.925953000005,66827.237539,55675.2972045,67977.24841550001,63989.13730250001,94216.487405,98088.5423745,104060.15848550001,105009.70875050001,107890.01122100001,121584.636154,139130.2149395,155430.82782200002,162563.005368,188527.9298365
Angola,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,hydro,TJ,1828.448276,1863.049251,2034.804646,2155.673684,2166.743455,2176.875,2235.116732,2658.595113,3057.754173,2580.211236,2629.337024,2935.516484,3294.948442,3646.487218,4344.422043,5709.982412,7932.929522,7296.952751,9516.621752,9397.004013,10735.47755
Angola,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,biomass,TJ,133615,136720,139915,143170,145967,150312,154817,159074,163465,168123,173232,178880,184950,191530,198185,204788,211273,217666,224037,230450,236998
Angola,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,coal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,naturalGas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,petroleum,TJ,3080.763082,3217.9203425000005,3207.3697840000004,3207.3697840000004,3217.9203425000005,3312.8753690000003,3302.3248105000002,3312.8753690000003,3312.8753690000003,3312.8753690000003,3302.3248105000002,3355.077603,3355.077603,3450.0326295,3428.9315125000003,3671.5943580000003,3671.5943580000003,3534.4370975000006,4040.8639055000003,3534.4370975000006,1076.1569670000001
Antarctica,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,biomass,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,hydro,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,coal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,naturalGas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,petroleum,TJ,6414.739568000001,6330.3351,6309.233983000001,6203.728398,6973.919168500001,7163.829221500001,7142.728104500001,7438.1437425,7438.1437425,7438.1437425,7649.154912500001,7670.256029500001,7723.008822000001,8187.233396000001,8820.266906,9590.457676500002,9780.367729500002,9400.5476235,7300.986482,9949.1766655,9928.0755485
Antigua and Barbuda,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,hydro,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,biomass,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,coal,TJ,25184.1831395,31377.360979,34162.708423000004,30164.046751500002,48163.29955250001,41643.054399500004,40524.695198500005,41832.964452500004,41695.807192,29815.878321000004,31039.743107000006,24762.160799500005,30195.698427000003,22609.846865500003,27389.249866000002,24340.1384595,33002.14698800001,42392.144053,42687.55969100001,44249.042349,45747.22165600001
Argentina,naturalGas,TJ,775645.4092445001,860872.8208075,867878.3916515001,918499.9713345,944201.1318405,1050877.828834,1113959.6181055002,1111237.5740125002,1187940.1343075002,1259968.7971870003,1293065.8992015,1215582.5975775002,1178592.3394765,1346409.5229775,1476065.3363840003,1574565.35054,1625967.671552,1710066.1733555002,1729141.5831235002,1679701.6659925,1685536.1248430002
Argentina,petroleum,TJ,890519.8901925001,910249.4345875,951660.3767000001,773746.3087145,976253.7285635001,961219.182701,1022602.3320540001,1032762.5198895001,1084048.784758,1120321.6048810002,1098988.375594,1021874.3435175001,931055.1359495,966272.9002225001,995645.6550865001,1056364.119254,1132918.97173,1242665.8812470003,1302329.2895645,1255653.6187605,1325561.6193815
Argentina,nuclear,TJ,26203.50648,27921.7692,25503.47352,27905.85936,29655.94176,25439.834160000002,26855.80992,28669.53168,26839.90008,25583.022719999997,22241.95632,25408.014479999998,20953.25928,27237.646080000002,28367.244720000002,24723.89136,27107.2421064,25467.9157908,25901.431578,28757.1789468,25357.642106400002
Argentina,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,hydro,TJ,51192.86181,46046.97315,56258.38221,67619.16144,82071.23801,79858.98274,69515.88784,88371.87133,87870.57861,67850.24109,87940.15319,112714.8319,112855.7185,106518.9598,93281.70442,104777.3574,135124.611,103981.3321,96498.5103,106399.056,108860.9951
Argentina,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,662,662,662,1987,22130
Argentina,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,biomass,TJ,54521.42404,60388.87259,64044.035650000005,69832.14871000001,82557.94841,93949.22231,94924.08363,100085.03843,114688.31928,116414.57741,111157.95973,113918.73948999999,107493.61002000001,115694.6454,62989.78727,67151.74592,77078.6378,71110.97275,75372.08525,58679.68489,53057.356270000004
Argentina,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,wind,TJ,0,0,0,0,0,0,30.34038401,47.31672568,109.6927972,111.0115201,106.9682825,149.1782611,229.803834,245.718477,220.6400367,231.0993355,249.2417066,208.8734897,133.2457978,113.1035852,81.02911474
